ax,ay,az,gx,gy,gz,session,reading_index
856,-1979,-611,-864,-782,620,2025-11-12_20-05-24,23
696,-1445,-909,3708,-306,619,2025-11-12_20-05-24,24
712,-1955,-139,-1310,672,5,2025-11-12_20-05-24,25
210,-1893,-18,-576,41,-7,2025-11-12_20-05-24,26
937,-1695,86,3089,469,-20,2025-11-12_20-05-24,27
1169,-2170,399,-2652,1218,-95,2025-11-12_20-05-24,28
838,-1803,-52,-474,160,134,2025-11-12_20-05-24,29
534,-1256,877,639,-633,253,2025-11-12_20-05-24,30
1162,-1970,-1354,-637,506,361,2025-11-12_20-05-24,31
376,-1915,-30,-479,238,267,2025-11-12_20-05-24,32
1008,-1647,265,-1716,-687,115,2025-11-12_20-05-24,33
808,-1293,-1539,848,934,662,2025-11-12_20-05-24,34
728,-1833,64,-307,-561,166,2025-11-12_20-05-24,35
351,-1687,91,-125,-1813,1033,2025-11-12_20-05-24,36
963,-2288,-211,-2201,2207,-147,2025-11-12_20-05-24,37
604,-1935,6,-246,36,130,2025-11-12_20-05-24,38
615,-1889,223,3226,-306,155,2025-11-12_20-05-24,39
1056,-2174,533,-1982,464,-379,2025-11-12_20-05-24,40
720,-1925,-10,-556,189,93,2025-11-12_20-05-24,41
686,-1663,390,2645,-80,63,2025-11-12_20-05-24,42
1051,-2548,312,-3083,2803,7,2025-11-12_20-05-24,43
589,-1927,-94,-364,-37,216,2025-11-12_20-05-24,44
485,-1648,266,-1002,-1131,251,2025-11-12_20-05-24,45
973,-1160,-1310,739,1329,1189,2025-11-12_20-05-24,46
689,-1897,-339,-739,68,194,2025-11-12_20-05-24,47
287,-2113,-1105,-1461,2587,-193,2025-11-12_20-05-24,48
420,-1422,-1198,3399,-418,463,2025-11-12_20-05-24,49
900,-2540,-120,-1550,385,-257,2025-11-12_20-05-24,50
809,-1934,-14,-485,-789,476,2025-11-12_20-05-24,51
1508,-1520,-608,2967,1860,-235,2025-11-12_20-05-24,52
319,-1943,-19,-1030,2316,49,2025-11-12_20-05-24,53
1376,-2455,976,-584,-1394,-47,2025-11-12_20-05-24,54
755,-1360,-1400,690,1287,511,2025-11-12_20-05-24,55
713,-1929,-122,-757,170,138,2025-11-12_20-05-24,56
517,-1931,96,-435,275,166,2025-11-13_00-07-20,0
609,-1464,608,919,-322,288,2025-11-13_00-07-20,1
1220,-1917,-108,-1902,1063,-85,2025-11-13_00-07-20,2
547,-1938,-139,-531,235,104,2025-11-13_00-07-20,3
1048,-1722,-218,1585,1711,458,2025-11-13_00-07-20,4
554,-1952,-213,-664,960,88,2025-11-13_00-07-20,5
847,-1337,706,221,324,-124,2025-11-13_00-07-20,6
