ax,ay,az,gx,gy,gz,session,reading_index
407,-2004,-243,-736,-10,-168,2025-11-12_19-47-58,42
-5,-2216,-555,-860,-1036,-685,2025-11-12_19-47-58,43
256,-1825,-160,68,1638,-440,2025-11-12_19-47-58,44
347,-2103,-159,2425,-1373,-471,2025-11-12_19-47-58,45
-392,-2370,194,-1800,-268,126,2025-11-12_19-47-58,46
23,-2001,70,-756,-47,-3,2025-11-12_19-47-58,47
611,-1407,-338,-599,2902,-861,2025-11-12_19-47-58,48
584,-2051,-361,1636,162,11,2025-11-12_19-47-58,49
94,-2052,41,-851,-138,99,2025-11-12_19-47-58,50
540,-1876,-270,-638,13,-32,2025-11-12_19-47-58,51
22,-1848,23,1063,274,-445,2025-11-12_19-47-58,52
563,-1552,-1317,1050,-6331,-1171,2025-11-12_19-47-58,53
373,-1939,-269,-193,-803,-310,2025-11-12_19-47-58,54
-222,-2154,-528,-1959,1557,-255,2025-11-12_19-47-58,55
714,-721,-585,-2020,1577,-128,2025-11-12_20-06-30,0
989,-891,-1279,4515,742,2042,2025-11-12_20-06-30,1
423,-1234,-1070,173,1074,491,2025-11-12_20-06-30,2
1040,-2781,404,-2962,262,-611,2025-11-12_20-06-30,3
130,-1957,113,-1360,139,-373,2025-11-12_20-06-30,4
316,-1858,-14,-787,44,-314,2025-11-12_20-06-30,5
-142,-1947,-352,716,-1336,392,2025-11-12_20-06-30,6
989,-1572,-1296,3132,-849,1203,2025-11-12_20-06-30,7
772,-2308,-1737,-2648,2898,-45,2025-11-12_20-06-30,8
-214,-1966,-187,-1470,-41,-545,2025-11-12_20-06-30,9
407,-1944,-295,-515,-180,-190,2025-11-12_20-06-30,10
-218,-2348,-512,-245,-1259,-194,2025-11-12_20-06-30,11
456,-2304,-1530,-2225,1696,-532,2025-11-12_20-06-30,12
-86,-966,-267,-1970,1452,-215,2025-11-12_20-06-30,13
612,-863,-1497,4940,1686,2123,2025-11-12_20-06-30,14
399,-1105,-1092,1836,-988,1133,2025-11-12_20-06-30,15
922,-3639,240,-3806,980,-70,2025-11-12_20-06-30,16
214,-1875,-358,-1144,996,-234,2025-11-12_20-06-30,17
119,-1967,-105,-730,490,-432,2025-11-12_20-06-30,18
1324,-2305,-375,-1072,1078,31,2025-11-12_20-06-30,19
1350,-3605,2106,-1849,-2972,-449,2025-11-12_20-06-30,20
839,-2407,-1021,5465,-325,1514,2025-11-12_20-06-30,21
665,-790,-1627,2251,-731,861,2025-11-12_20-06-30,22
756,-3102,163,-3699,1102,-448,2025-11-12_20-06-30,23
-85,-2061,-334,-1315,1320,-38,2025-11-12_20-06-30,24
408,-1977,-233,-666,247,-4,2025-11-12_20-06-30,25
449,-1838,-511,-920,166,-336,2025-11-12_20-06-30,26
-1426,-1956,-343,-1817,6959,1311,2025-11-12_20-06-30,27
227,-2197,-1283,124,-672,-190,2025-11-12_20-06-30,28
