T,P,session,reading_index
29.43,909.29,2025-11-12_20-10-30,7
29.43,909.29,2025-11-12_20-10-30,8
29.43,909.28,2025-11-12_20-10-30,9
29.42,909.14,2025-11-12_20-10-30,10
29.44,909.14,2025-11-12_20-10-30,11
29.43,909.16,2025-11-12_20-10-30,12
29.44,909.06,2025-11-12_20-10-30,13
29.45,909.18,2025-11-12_20-10-30,14
29.45,909.05,2025-11-12_20-10-30,15
29.45,908.96,2025-11-12_20-10-30,16
29.46,908.99,2025-11-12_20-10-30,17
29.47,908.95,2025-11-12_20-10-30,18
29.47,908.89,2025-11-12_20-10-30,19
29.48,908.94,2025-11-12_20-10-30,20
29.47,908.88,2025-11-12_20-10-30,21
29.48,908.82,2025-11-12_20-10-30,22
29.47,908.75,2025-11-12_20-10-30,23
29.48,908.78,2025-11-12_20-10-30,24
29.49,908.8,2025-11-12_20-10-30,25
29.5,908.73,2025-11-12_20-10-30,26
29.49,908.68,2025-11-12_20-10-30,27
29.5,908.69,2025-11-12_20-10-30,28
29.5,908.65,2025-11-12_20-10-30,29
29.5,908.57,2025-11-12_20-10-30,30
29.51,908.61,2025-11-12_20-10-30,31
29.52,908.65,2025-11-12_20-10-30,32
29.51,908.8,2025-11-12_20-10-30,33
29.51,908.72,2025-11-12_20-10-30,34
29.52,908.64,2025-11-12_20-10-30,35
29.51,908.57,2025-11-12_20-10-30,36
29.5,908.56,2025-11-12_20-10-30,37
29.51,908.66,2025-11-12_20-10-30,38
29.51,908.58,2025-11-12_20-10-30,39
29.52,908.62,2025-11-12_20-10-30,40
29.53,908.7,2025-11-12_20-10-30,41
29.51,908.66,2025-11-12_20-10-30,42
29.5,908.62,2025-11-12_20-10-30,43
29.51,908.65,2025-11-12_20-10-30,44
29.51,908.66,2025-11-12_20-10-30,45
29.52,908.69,2025-11-12_20-10-30,46
29.52,908.67,2025-11-12_20-10-30,47
29.52,908.66,2025-11-12_20-10-30,48
29.54,908.72,2025-11-12_20-10-30,49
29.53,908.67,2025-11-12_20-10-30,50
29.55,908.75,2025-11-12_20-10-30,51
29.54,908.7,2025-11-12_20-10-30,52
29.55,908.68,2025-11-12_20-10-30,53
29.55,908.66,2025-11-12_20-10-30,54
29.57,908.69,2025-11-12_20-10-30,55
30.6,912.4,2025-11-12_20-10-30,56
30.6,912.4,2025-11-12_20-10-30,57
29.44,909.39,2025-11-15_11-47-03,0
29.41,909.27,2025-11-15_11-47-03,1
29.42,909.25,2025-11-15_11-47-03,2
29.41,909.28,2025-11-15_11-47-03,3
29.41,909.24,2025-11-15_11-47-03,4
29.42,909.29,2025-11-15_11-47-03,5
29.41,909.32,2025-11-15_11-47-03,6
29.43,909.29,2025-11-15_11-47-03,7
29.43,909.29,2025-11-15_11-47-03,8
29.43,909.28,2025-11-15_11-47-03,9
29.42,909.14,2025-11-15_11-47-03,10
29.44,909.14,2025-11-15_11-47-03,11
29.43,909.16,2025-11-15_11-47-03,12
29.44,909.06,2025-11-15_11-47-03,13
29.45,909.18,2025-11-15_11-47-03,14
29.45,909.05,2025-11-15_11-47-03,15
29.45,908.96,2025-11-15_11-47-03,16
29.46,908.99,2025-11-15_11-47-03,17
29.47,908.95,2025-11-15_11-47-03,18
29.47,908.89,2025-11-15_11-47-03,19
29.48,908.94,2025-11-15_11-47-03,20
29.47,908.88,2025-11-15_11-47-03,21
29.48,908.82,2025-11-15_11-47-03,22
29.47,908.75,2025-11-15_11-47-03,23
29.48,908.78,2025-11-15_11-47-03,24
29.49,908.8,2025-11-15_11-47-03,25
